"","GEOID","tree_canopy_area","air_pollution","svi_index","holc_grade","has_covenant"
"98","27053110100",30.7,6.44785369293333,0,"B","1"
"99","27053110200",29.9,3.8705600789282,1,"B","1"
"100","27053110400",31.4,1.29326646492308,1,"C","1"
"101","27053110500",45.3,0.70963016002972,1,"B","1"
"102","27053110800",35.4,1.0131382600131,1,"A","1"
"103","27053110900",31,2.15003101702397,1,"B","1"
"104","27053111100",32.8,2.62237133766426,1,"B","1"
"105","27053111200",36.1,0,0,"B","1"
"106","27053111300",43.9,1.0131382600131,0,"A","1"
"107","27053111400",45.3,2.02627652002619,0,"A","1"
"108","27053111500",41.2,2.02627652002619,1,"A","1"
"109","27053111600",41.1,2.86670802269863,0,"A","1"
"110","27053125600",31.4,1.35935174493174,1,"C","0"
"111","27053125700",30.7,1.77130745098402,1,"C","0"
"112","27053125800",24.2,3.52413096441957,1,"C","0"
"113","27053125900",23.9,2.78050946458741,1,"C","0"
"114","27053126000",18.4,2.43772109367052,1,"C","1"
"115","27053126201",4.1,2.46092644769708,1,"D","0"
"116","27053126300",17.3,1.5427895736228,1,"D","0"
